,text
627,   For Staff Development
628,This grant to The Wilderness Society will support its efforts to defend America’s national public lands. Western ConservationFor Securing Lasting Conservation Protections And Broadening Voices For Western Public Lands
629,"The Western Conservation Foundation works to protect the West’s national public lands and rivers by educating decision makers and the public about the region’s outdoor values. This general support renewal grant will enable the foundation to continue to engage diverse stakeholders and the media, and to collaborate with an array of other conservation organizations in support of its goals. Western ConservationFor General Operating Support"
630,"Salmon supports a substantial part of Alaska’s economy, helps maintain subsistence fishing rights, and provides recreational fishing opportunities. The New Venture Fund’s Salmon State program seeks to secure state and federal policies in Alaska to protect the most important salmon spawning watersheds in the state necessary to support the state’s economy and the rights of Native Alaskans. The program will defend Bristol Bay and other key salmon habitat by engaging commercial and sport fishermen, Alaska Natives, and the public. These efforts will elevate a narrative about the shared value of salmon to Alaskans. Western ConservationFor The Salmon State Project"
631,"The Institute for Governance and Sustainable Development is the fiscal sponsor of the Climate Solutions Support Center. The center provides coordination services and centralized resources such as communications, science education, and document management for lawyers. Their efforts also extend to communities and local governments fighting climate change through litigation.  For The Climate Solutions Support Center"
632,  Western ConservationFor BLM Workshops And Sage Grouse Research
633,This grant will support efforts led by Secretary John Kerry to advance climate diplomacy and help ensure that America’s commitment to climate change remains clear throughout the international community and underscore the benefits of clean energy.  For Enhancing Climate Diplomacy
634,"The Energy Foundation China’s program focuses on working with government research institutions to support the Chinese government in their efforts to advance climate mitigation, clean energy, clean transportation, and sustainable cities as well as advancing policies to combat pollution. One proposed new area for the Energy Foundation China work is to support China’s effort to ""green"" its overseas investments.  For Energy Foundation China"
635,This grant will support the Fund’s Center for Western Priorities project and their work to boost awareness among key decision-makers of public support for conservation issues. Western ConservationFor Support Of The Center For Western Priorities Communications Strategy
636,   For Support Of US International Climate Finance
637,"New Venture Fund is the fiscal sponsor of the Center for Applied Environmental Law and Policy program (CAELP), a small team of lawyers assembled to help coordinate and amplify existing legal capacity around immediate defensive caseload as well as longer-term, proactive legal and communications efforts. CAELP’s initial focus will be on the power and transportation sectors, including both defense of federal policy frameworks as well as the rights of states to go beyond federal mandates.  For The Center For Applied Environmental Law And Policy"
638,This grant will support efforts for the National Renewable Energy Laboratory (NREL) to provide technical assistance to four key countries in implementing their Paris climate treaty commitments. Many countries submitted ambitious Nationally Determined Contributions (NDC) to meet the Paris goals presuming the U.S. government would fund NREL to provide technical support. The Trump administration has declared its intent to defund any climate related activities. This is a bridge grant to keep this important work going. This grant will also fund a small stakeholder exercise to develop a pathway for minimizing the role natural gas plays in the electricity sector.  For NDC Technical Support And 2050 Natural Gas Analysis
639,"This grant will provide renewed funding to MenloSpark, a community project that started three years ago to explore opportunities to promote long-term economic vitality, equality, and quality of life in Menlo Park, while addressing the threat of climate change. The goal is for the city of Menlo Park to become climate neutral by 2025 and serve as a model for other U.S. cities of similar size. MenloSpark will focus on four key strategies: renewable power generation; clean transportation; efficient buildings; and responsible waste practices.  For The MenloSpark Project"
640,  Western ConservationFor Board Governance And DEI
641,   For Supporting Sub-national Delegation At COP 23
642,"The Open Space Institute’s Outdoors America Campaign is a broad-based effort to educate the public about the benefits of preserving open space and the important role that federal funding of land acquisition plays in public and private land conservation. This renewal grant will support the Institute’s work to conduct media outreach, build a broader bipartisan coalition of partners and supporters. They will also educate the Administration about the recreational and economic benefits of conserving working landscapes, as well as American history, cultural treasures and clean water on our public lands. Western ConservationFor The Outdoors America Campaign"
643,   For The Energy Innovation Surge Project
644,  Western ConservationFor The Launch Of The Artemis Program
645,"This grant will fund the European Climate Foundation’s (ECF) program expansion into France. Specifically, ECF will work with civil society, think tanks, and government research institutes to develop a climate road map for the new French government. In addition, they will provide technical support to government in the international arena and with multi-lateral forums like the UNFCCC and the G20.  For Support Of Climate Leadership In France"
646,  Western ConservationFor General Operating Support
647,"The U.S. government has eliminated funding for the Lawrence Berkeley National Laboratory (LBNL) to support developing countries with technical support for the purpose of achieving the climate mitigation goals set in the Paris Climate treaty. These Nationally Determined Commitments (NDC) were set with the implicit understanding the U.S. government would provide technical support to key countries. This is a one-time bridge grant to keep that technical support on track until the Lab either receives funding from the U.S. government or they can raise the funds from other governments or corporations.  For Support Of Lawrence Berkeley National Lab's INDCs Work In India, China, And Mexico"
648,The Partnership Project is seeking to launch a new effort with this grant funding to coordinate public lands defensive efforts by the broader environmental community. Western ConservationFor The Americans For Public Lands Campaign
649,  Western ConservationFor General Operating Support
650,"The American Lung Association’s Healthy Air Campaign mobilizes medical and health voices in support of climate and clean air safeguards. This renewal grant will allow the association, one of the most prominent U.S. public health organizations, to continue its work in support of clean air, climate action, and strong EPA regulations and funding to protect public health.  For The Healthy Air Campaign"
651,  Western ConservationFor The Colorado River Sustainability Campaign
652,The Energy Foundation will use this supplemental grant to support efforts in three main areas: encouraging companies to disclose climate-related risks and develop scenarios for mitigating that risk; advocacy in support of expanding the Western electricity grid and better market structures that effectively support high levels of carbon-free electricity; and expanded clean energy and transportation work across 16 states.  For Clean Energy And Climate Progress In The US
653,"This grant will support ICLEI-Local Governments for Sustainability to implement the EcoMobilty Alliance in key countries of the Global South. ICLEI is the leading global network of more than 1,500 cities, towns and regions committed to building a sustainable future. Their EcoMobility Alliance provides technical expertise and information-sharing opportunities on sustainable urban mobility for cities to reduce transport related carbon emissions, energy consumption, to improve air quality, and increase mobility opportunities for all citizens. The grant will support six cities in China, Africa and Latin America.  For The Eco-Mobility Alliance"
654,  Western ConservationFor An Executive Search
655,"Trout Unlimited is a nonprofit U.S. organization with 150,000 members dedicated to conserving, protecting and restoring North America’s cold water fisheries and their watersheds. This renewal grant supports the efforts of its Western Water Project and Land Conservation Initiative to engage and organize sportsmen, and other stakeholders to pursue and defend federal and state policies that protect and improve cold water fish habitat, including rivers and streams across the American West. Through these initiatives, Trout Unlimited partners with ranchers, farmers, and land owners in the West on local river and stream restoration projects. Western ConservationFor The Western Water Project And Land Conservation Initiative"
656,"The Theodore Roosevelt Conservation Partnership (TRCP) collaborates with 52 formal partner organizations and other stakeholders to amplify the voices of sportsmen and women on federal policy issues. With this renewal, TRCP will work to ensure that administrative designations and plans that protect priority habitat for wildlife are upheld by the new administration. It will also promote balanced energy development and thoughtful strategies to allow for wildlife migration across national public lands. Western ConservationFor The Sportsmen For Long-Term Conservation Of Public Lands Program"
657,"This grant will support the ""Go Big"" initiative that ClimateWorks launched in 2016, to substantially increase the amount of philanthropic capital going to solve the global climate crisis. The initiative will provide high-quality staff, information and systems that enable the engagement of philanthropists to invest and do more to help solve the climate challenge.  For The Go Big Initiative"
658,  Western ConservationFor Support Of Women In Conservation
659,"The Rockefeller Brothers Fund’s Southern China Program supports efforts to mitigate environmental pollution and greenhouse gases by building capacity in more than 30 Chinese NGOs and promoting Chinese-based philanthropy. For more than 10 years, the program has worked with local groups to highlight air and water pollution, and research institutions that support these efforts.  For A Project To Address Environmental Pollution, Public Health, And Climate Change In China"
660,   For Electrification Coalition Strategic Planning
661,   For Mobility Improvements In The San Francisco Bay Area
662,   For Support Of Climate Workshops
663,"The Climate Policy Lab (CPL) will examine mitigation policies (mostly in the developing world) through the lenses of what works, what doesn’t and why. The goal is to support the design and implementation of low cost, scalable mitigation solutions that facilitate countries achieving their Nationally Determined Contributions (NDCs) under the Paris Agreement. This will be particularly critical as the U.S. reduces support for such efforts; without U.S. aid, many nations will not have the resources or expertise to meet their commitments. The lab will serve as a resource center for developing nations on policy design and evaluation that is tailored to the local context.  For The Climate Policy Lab"
664,"Western Resource Advocates works to promote clean energy and conservation strategies in the intermountain West. This grant will provide general operating support for their ongoing work in these areas. The organization achieves its goals through a pragmatic mix of economic analysis, legal interventions and public policy advocacy. Its focus for the next two years includes promoting a clean energy standard, advocating for increased renewable energy and developing policies around the water/energy nexus in the West.  For General Operating Support"
665,"We Own It runs a national network for rural electric cooperative members. The program is focused on good governance reforms and trainings on member rights. Nationally, there are more than 800 electric co-ops, from which more than 42 million Americans buy roughly $41 billion worth of electricity each year. These co-ops currently rely predominately on coal-fired power, but could be providing their members with cheaper and cleaner energy by investing in renewable energy and energy efficiency. We Own It’s national network provides peer to peer learning for co-op board members, as well as access to governance and energy experts.  For General Operating Support"
666,  Western ConservationFor Empowering Diverse Voices In Conservation
667,"The World Resources Institute will provide support for climate leadership in Washington State, including support for the state’s leadership role in the Pacific Coast Collaborative with California and Oregon. In addition, they will aid the state’s role in communicating about climate progress at the state level with other sub-national leaders across the U.S. and the world.  For The Governor's Climate Unit"
668,  Western ConservationFor The Stand For Salmon Campaign
669,  Western ConservationFor The Hunters And Anglers Support Of National Monuments
670,"This grant seeks to facilitate the creation of Green Investment Banks (GIB) in key developing countries. Country GIB’s would be portals for climate aid and multi-lateral loans designed to assist countries with low cost finance aimed toward the emissions targets laid out in the Paris Climate treaty. The institute will provide technical assistance, match donor countries with climate mitigation investment opportunities developing countries and work with local partners to establish country specific GIB’s. The goal would be for four new GIB’s to be operating before 2020 and four more under development.  For Support To Expand The Global Green Bank Strategy"
671,"The communications component of this grant will fund efforts to enact the recommendations of the Task Force on Climate-related Financial Disclosure (TCFD.) These recommendations would require companies to disclose their financial risks from climate change, including liabilities that could be incurred from their CO2 emissions. The efforts focus on getting individual companies to adopt the recommendations and work with standard-setting bodies to make them mandatory. The finance disclosure part of the grant will fund public education and communications capacity in India around climate impacts and mitigation. It supports efforts to develop communications capacities with Indian NGOs working in the climate and energy arena.  For Global Strategic Climate Communications And Climate Finance Disclosure"
672,"The U.S. is experiencing a historic energy transformation toward a clean energy economy that affects communities and workers across the country. The Just Transition Fund supports grantees working to diversify and strengthen local economies that had been dependent on coal mining and coal-fired power plant operation. The fund’s goal is to make a material difference in people’s lives, bringing jobs to coal communities and advancing a clean, healthy, prosperous long-term vision for local economies. This planning grant from the Hewlett Foundation will help the fund conduct research and analysis to better understand the needs, community context, effective strategies, and the partners necessary to accelerate and scale up this work.  For Support Of The Just Transition Fund"
673,"The Institute for Energy Economics and Financial Analysis accelerates the transition to a diverse, sustainable and profitable clean energy economy. The institute provides regulators, investors, rate-payers, and advocates with research and analysis on the financial impacts of fossil fuel and clean energy investments in the United States and around the world. It also plays a valuable role strengthening capacity in the field by providing training and strategic advice to energy advocates.  For General Operating Support"
674,"This grant to the ClimateWorks Foundation will support the Kigali Cooling Efficiency Joint Fund. The joint fund will be dispersed to developing countries to improve energy efficiency, while transitioning away from high global warming potential refrigerants, consistent with commitments made under the Kigali Amendment of the Montreal Protocol. The funds will be dispersed in partnership with implementing agencies of the Montreal Protocol’s Multilateral Fund. Affordable, energy-efficient cooling can dramatically improve people’s lives and dramatically reduce greenhouse gas emissions while giving a powerful boost to the international effort to keep global average temperature rise well below 2° C.  For The Kigali Cooling Efficiency Program"
675,"CALSTART works with the clean transportation industry sector and vehicle fleets to help them transition to a clean energy future. They focus on policies that spur innovation and encourage long-term investment. During the grant term, CALSTART will work toward raising ambition and defending the implementation of existing policies, such as the Low Carbon Fuel Standard and Zero Emissions Vehicle Mandate in California, and fuel economy standards in the United States. CALSTART will continue to build on their successful ""Race to Zero Emissions"" program, for zero emission buses in China and the United States, and plans to build more international support.  For General Operating Support"
676,   For The Metropolitan Equity Team
677,"This grant will support the Climate and Land Use Alliance at ClimateWorks Foundation. The alliance’s mission is to realize the potential of forested and agricultural landscapes to mitigate climate change, benefit people, and protect the environment, primarily in Indonesia, Brazil, and Mesoamerica. Land use — from deforestation, land degradation, and the draining and burning of tropical peatlands to fertilizer application and rice and cattle production — is responsible for about 25 percent of human-related greenhouse gas emissions. More effective land use protects the climate by reducing carbon emissions and preserving nature’s vital carbon sinks.  For The Climate And Land Use Alliance Program"
678,   For General Operating Support
679,"The goal of the Desert Rivers Initiative is to protect and restore two desert rivers in the Sonoran Desert — the Colorado River delta and estuary and the Upper Santa Cruz River. Work will focus on ensuring that water continues to flow into these rivers, creating habitat that sustains a diversity of wildlife and provides community and economic benefits in the face of climate change. The Sonoran Institute will work to preserve and enhance river flows; ensure that water is used for the environment and community well-being; and build a broad base of support for river conservation and restoration in both the United States and Mexico. Western ConservationFor The Desert Rivers Initiative"
680,"The New Venture Fund’s Moving Beyond Oil project aims to contribute to the reduction of oil use and the transition to clean-energy alternatives in the transportation sector in the United States. This grant will seek to ensure that the country reduces oil production and consumption sufficiently to achieve our Paris 2020 emission reduction targets. In the absence of strong federal leadership, the climate work will shift to several key states, such as Washington, California, New York, New Jersey, Oregon, and Minnesota.  For The Moving Beyond Oil Project"
681,   For DEI In Bike Advocacy
682,"The Institute for Policy Integrity at New York University School of Law is a non-partisan think tank and advocacy organization dedicated to improving the quality of government decision-making. This grant will support efforts to integrate economic and legal arguments into advocacy before agencies and courts on issues related to climate change and clean energy. The institute’s efforts are aimed at educating decision makers about the health and economic benefits of clean energy, clean air, and clean vehicle regulations, at both the state and federal level.  For Support Of The Institute For Policy Integrity"
683,"Energy Foundation’s mission is to promote the transition to a clean energy future in the United States. This grant will support the Transportation Program with its goal of reducing carbon emissions from vehicles and accelerating the transition to electric drive vehicles. The program’s main priority for 2017 is the defense of the federal fuel economy and greenhouse gas standards for light duty vehicles, adopted during the Obama administration, which not only reduce emissions, but also reduce costs for consumers. In addition, the grant will support efforts to develop utility, state, and local policies that encourage electric drive vehicle deployment.  For Support Of The Transportation Program"
684,   For Strategic Planning
685,"The Coalition for Green Capital works with states and other jurisdictions to identify obstacles to clean energy market growth, and helps set up financial mechanisms that deploy financing for renewable energy and energy efficiency projects. This grant will provide general operating support to the organization for carrying out its core functions, including helping states develop ""green banks"" — institutions that provide low-cost, long-term financing support for low-carbon projects — and leveraging public funds to attract private investment.  For General Operating Support"
686,   For The Equalizing Regional Planning Project
687,   For General Operating Support
688,"With this project grant, the Partnership on Sustainable Low Carbon Transport will continue their work toward the implementation of the transportation components of the United Nations global agreements on climate and social equity: the Paris Climate Agreements (COP21) and the Sustainable Development Goals (SDGs). Through the Transportation Decarbonization Alliance, the partnership will facilitate a dialogue among sub-national authorities, multilateral development banks, and the private sector, with the intention of increasing ambition on transport-related measures to define and implement cost effective short-, medium-, and long-term plans to decarbonize the transport sector soon after 2050.  For Support Of The Transportation Decarbonization Alliance"
689,"The goal of the Southern California Warm-Water Rivers project is to secure protection for the Mojave and Santa Margarita rivers, which are important waterways in the California desert, providing critical habitat and biological diversity. The conservancy will work to permanently protect and restore the ecological integrity of the Mojave and Santa Margarita rivers through the acquisition and long-term stewardship of private landholdings along the rivers. Western ConservationFor The Southern California Warm-Water Rivers Project"
690,"This grant will support the Lawrence Berkeley National Laboratory’s International Energy Studies Department (IES) in China and India. The IES assists countries and partners in identifying and utilizing clean energy resources and energy efficiency opportunities. With this grant, the IES will provide strategic, analytical, and technical assistance to various institutions in India to accelerate the deployment of more efficient and plug-in electric vehicles. In China, IES will support the Berkeley-Tsinghua Joint Research Center in reaching the ambitious greenhouse gas emission reduction commitments they made in the Paris Agreement at the United Nations COP21.  For Support Of Lawrence Berkeley National Lab's India And China Programs"
691,   For Strategic Planning
692,   For Executive Search
693,   For Financial Training
694,"This renewal grant will support the Resources Legacy Fund’s work to conserve and restore natural landscapes, rivers, open spaces, and parks in California and the western United States; develop new sources of conservation funding; and strengthen conservation policies. The Fund will employ sound research, communications with the public and the media, and decision-maker education as tools to support its objectives. Western ConservationFor General Operating Support"
695,"With a general support grant from the William and Flora Hewlett Foundation, the Bipartisan Policy Center will advance its work to develop bipartisan solutions to America’s key policy challenges. Over the next two years, the center believes that there will be bipartisan opportunities to address our nation’s crumbling infrastructure, improve the tax code, and unleash innovation in medicine, clean energy, and entrepreneurship. There will also be a critical need for fact-based, constructive dialogue on divisive issues including immigration, climate change, and health policy. U.S. DemocracyFor General Operating Support"
696,"The Western Conservation Foundation works to protect the West’s public lands and great rivers by educating decision makers and the public on the region’s outdoor values and the threats they face. This general support renewal grant will enable the foundation to continue to engage diverse stakeholders and the media, and to collaborate with an array of other conservation organizations in support of its goals. Western ConservationFor General Operating Support"
697,"The Pew Trusts’ Western Public Lands Campaign works to build strong local support for policies that protect the public lands of the West. This renewal grant will support the Trusts’ efforts to conserve millions of acres of roadless public land deserving protection, and protect key environmental policies from being weakened. The campaign provides state-based land conservation projects with expertise in campaign planning and design, policy research, strategic communications, public opinion research, and public education and outreach. Western ConservationFor Support Of The Western Public Lands Protection Campaign"
698,"This special initiative renewal grant will support the Pew Trusts’ work with the International Boreal Conservation Campaign to secure permanent protection for half of Canada’s 1.2 billion-acre boreal forest. The Trust works closely with First Nations, sportsmen, and the Canadian public in its efforts to achieve its boreal conservation goals.  For Support Of The International Boreal Conservation Campaign"
699,"The Resources Legacy Fund’s Western Energy Project seeks to protect ecologically important public lands in the Rocky Mountain West that are threatened by fossil energy leasing and development. This renewal grant will support the Project’s efforts to secure oil and gas leasing plans in four Western states and defend already adopted plans from being weakened. The project will also defend gains made on 30 million acres of land critical to sage grouse survival that were set off-limits to energy development, as well as regulations that limit the amount of methane that can be released into the atmosphere. Western ConservationFor The Western Energy Project"
700,"This grant to the Water Foundation will support its work to ensure water policy in California balances the needs of farmers, urban dwellers, and the environment. The Water Foundation seeks to modernize state water policy to better respond to a less predictable water future caused by climate change and the growing demands put on the state’s water supplies. To achieve its goals, the Water Foundation will analyze water policy options and educate policymakers, the public, and the press. Western ConservationFor General Operating Support"
701,"Earthjustice is a public interest law organization that protects public health, preserves magnificent places and wildlife, and advances solutions to climate change. This grant will enable Earthjustice to hire new legal staff to defend clean energy gains and conservation protections for lands and waters in the West. Western ConservationFor The Defense Of Public Land And Energy Law Regulations"
702,"The Environmental Grantmakers Association serves more than 200 foundations in the U.S., Canada, and Europe. The organization’s mission is to increase the impact of environmental philanthropy by facilitating cooperation and collaboration among members locally, regionally, nationally, and internationally. This grant will support the association’s efforts to enhance the philanthropic field through research, and expose foundation members to new constituencies and diverse ideas at its annual meeting.  For General Operating Support"
703,   For Updating Communications Systems
704,   For General Operating Support
705,"The Niskanen Center is a libertarian think tank established in 2014 that works to change public policy. With support from Hewlett, the Center’s Energy and Climate program works to educate decision makers about climate change and climate solutions that can help avoid the worst impacts of a warming world, including those that facilitate the use of low-carbon energy and promote carbon pricing.  For The Energy And Climate Program"
706,"The Partnership Project hosts the Climate Action Coalition, a group of national environmental organizations and influential partners that conducts coordinated efforts to slow and stop attacks on climate and clean energy progress.  For The Climate Action Campaign"
707,"Greenfaith is the fiscal sponsor for the People’s Climate Movement, the lead organization helping to coordinate groups across the country that participated in the April 29, 2017, People’s Climate March in Washington, D.C., and related events around the country.  For People's Climate March"
708,"This grant will allow the Energy Foundation to develop strategies, make grants, and monitor and evaluate progress toward cleaner energy in the U.S. The Energy Foundation re-grants to a broad array of organizations, including technical and policy experts and influential constituencies working to build support for a clean-energy economy.  For General Operating Support"
709,   For Support Of The March For Science
710,   For Fundraising Strategy
711,"This grant will fund the European Climate Foundation’s (ECF) primary mitigation programs. ECF works across EU institutions, including the European Commission, in key individual states and at the corporate level. In 2017 ECF will prioritize efforts to maintain — and, if possible, increase – Europe’s commitment to international climate leadership; this will be particularly critical as U.S. engagement declines. At the European Commission level, ECF will work to implement efficiency requirements, and promote fuel efficiency standards for cars and trucks. At the nation state level, ECF will focus on the clean energy transition in Poland, Germany, the U.K., and France. In the industrial sector, ECF has developed a cement program organized around zero emissions.  For European Climate Mitigation"
712,"The New Venture Fund’s Moving Beyond Oil project aims to contribute to the reduction of oil use and the transition to clean-energy alternatives in the transportation sector in the United States. This grant will seek to ensure that the country reduces oil production and consumption sufficiently to achieve our Paris 2020 emission reduction targets. In the absence of strong federal leadership, the climate work will shift to several key states, such as Washington, California, New York, New Jersey, Oregon, and Minnesota.  For The Moving Beyond Oil Project"
713,"The goal of Securing America’s Future Energy (SAFE) is to reduce U.S. oil consumption to address the economic and national security dangers, including environmental implications, caused by the nation’s dependence on petroleum. SAFE is effective in bringing together different voices, particularly business and conservative leaders, in support of clean energy solutions for transport. SAFE’s main focus for the next year will be energy-related national security issues; working with business, military leaders, and consumers to maintain support for fuel economy standards; and electric vehicle policies and incentives, in key states and cities. One of these cities is Columbus — recent winner of the Smart Cities Challenge.  For General Operating Support"
714,   For A National Strategic Plan
715,"The Regulatory Assistance Project provides technical assistance to utility and environmental regulators to facilitate the adoption of clean-energy policies. It is composed of former regulators, who leverage their expertise with advocates to promote sustainable low-carbon power sector development in the U.S., China, India, Europe, and Latin America. In Europe, its focus is developing power markets that reward emission-free generation. In China, it advises grantees and the government on reforming how clean power is brought onto the grid and reform of wholesale markets; and in India, they are working with regulators and grantees to strengthen the Indian energy boards and provide technical assistance on renewable energy integration.  For General Operating Support"
716,"This grant will support the institute’s work, which includes researching the efficacy of scaling Carbon Capture and Storage (CCS) in key states, and creating an analytical framework to help policymakers determine if increased federal support for CCS research, development, and deployment is warranted. Most climate models — including those of the Intergovernmental Panel on Climate Change and International Energy Agency — involve CCS in meeting a 2-degree goal. The institute is collaborating with eight organizations at the state and federal levels, and working with the Department of Energy to research cleaner and more cost-effective CCS options, which countries like India and China can leverage. At the federal level, the institute will conduct research that can build the case for tax credit support of CCS.  For General Operating Support"
717,   For Strategic Planning
718,"ClimatePlan is a coalition of diverse organizations in California, hosted by TransForm, that works to make the state’s land use and transportation networks more climate-friendly, healthy, and equitable. This grant will support ClimatePlan’s goal of achieving stronger carbon reduction targets by the Air Resources Board during the next round of Sustainable Community Strategies, in mid-2017, in five metropolitan regions: the San Francisco Bay Area, Sacramento, San Joaquin Valley, Los Angeles, and San Diego. These targets should be consistent with the long-term greenhouse gas reduction targets adopted by the state last year, 40 percent by 2030. ClimatePlan’s strategies involve strong participation from all local and regional statewide groups.  For The ClimatePlan Program"
719,"Oil Change International is a research, communications, and advocacy organization working domestically and internationally to increase transparency and accountability of the oil and related fossil fuel industries. The overall goal is to support the transition to a clean energy economy and secure a climate safe future. One of their priorities is the fossil fuels subsidies reform that includes identifying financial barriers for the transition to clean technologies and providing information about what is possible and necessary under the Paris Climate Agreement.  For General Operating Support"
720,"This renewal grant will support the Environmental Law and Policy Center’s efforts to ensure coal companies honor their reclamation obligations, and that taxpayers are protected from paying clean-up costs. The Center will educate decision makers on the need for stronger regulations at the state and federal levels to ensure coal mine reclamation without taxpayer liability, provide in-depth materials to the media, and engage leading legal experts in its efforts to protect the public. Western ConservationFor The Coal Program"
721,"The Institute’s mission is to design and implement high-quality transport systems and policy solutions that make cities around the world more livable, equitable, and sustainable. The Institute works to scale up sound urban planning policies for cities in India, China, Latin America, and Africa, in ways that reduce greenhouse gas emissions and advance economic development and quality of life. One of its global priorities is the Mobility Analytics Partnership, a set of metrics for governments, institutions, and non-governmental organizations to track the commitments for transport within the Paris Agreement and the Sustainable Development Goals.  For General Operating Support"
722,"Greenbelt Alliance works to protect open space and promote livable communities in the San Francisco Bay Area by focusing on how the region handles growth. Their goal is to fully protect the Bay Area’s 3.6 million-acre greenbelt and provide 830,000 new homes in the next 20 years within existing communities. They hope to accomplish this by creating and engaging collaborative networks, crafting local-level coalitions to educate and engage residents, and providing decision makers with useful information to help develop the rules that govern growth and support land conservation and low-carbon development outcomes.  For General Operating Support"
723,This renewal grant will support the National Wildlife Federation’s program to keep sensitive wildlife and fish habitat off-limits to fossil-energy leasing and development. The grant will also allow the Federation to engage Hispanic hunters and anglers in the West and educate policymakers and the press on the effects of fossil energy on wildlife habitat. Western ConservationFor The Hunters And Anglers Defending Public Lands Program
724,"Trout Unlimited advocates for policies and practices that support cold-water fisheries in the West and beyond. This grant to Trout Unlimited will support its work to secure adequate flows of water in key California rivers and streams to maintain healthy fisheries. Trout Unlimited will seek new statewide policies and funding for instream flows in support of its goals. It will educate policymakers and the public on state fisheries’ needs, and provide sound scientific research to help it achieve its river restoration priorities. Western ConservationFor Streamflow Restoration And Drought Resilience In California"
725,"The Clean Air Task Force focuses on mitigating CO2 by promoting carbon capture and storage policies, low-carbon energy innovation, renewable energy, and nuclear power. The Task Force also focuses on high-potency pollutants like methane and black carbon. Its priorities in 2017 are to increase incentives for carbon capture at the federal and state level, reform the Nuclear Regulatory Commission’s nuclear innovation processes, and foster business-to-business partnerships in the U.S. and China. The Task Force’s approach to the climate-driven energy transition focuses on the deep decarbonization necessary to achieve a 2-degree goal.  For General Operating Support"
726,   For General Operating Support
727,"The Northern Sierra Partnership, a program of Community Initiatives, works to protect important private land in the Northern Sierra Nevada Mountains. This grant will support its work to conserve 20,000 acres of private ranchland in the Sierra Valley, one of largest and most intact wetlands systems in private ownership in the Sierra Nevada. Western ConservationFor The Northern Sierra Partnership Program"
728,"This grant to the United Nations’ Environment Programme (UNEP) will support their work on clean fuels and clean vehicles, including electric mobility in low- and middle-income countries. UNEP was catalytic in the elimination of lead in gasoline around the world, and is now working to reduce sulfur content in fuels and promote clean electric mobility. This work contributes to the Paris Agreements’ Intended Nationally Determined Contributions and advances global air quality goals. UNEP works with partner organizations and supports governments by using best practices sharing, technical and policy assistance, peer learning, and strategic communications.  For Support Of The Electric Mobility Program And The Clean Fuels And Vehicles Partnership"
729,"This grant will support NRDC’s U.S. Clean Energy Program, which employs legal, policy, and communications efforts to reduce global warming emissions and other harmful impacts of mining, drilling, and burning fossil fuels. The program will focus on implementing and strengthening many of the landmark climate and clean energy policies adopted in 2016, including the Clean Power Plan, limiting methane leaks from oil and gas operations; limiting or banning fossil fuel development on public lands; car and truck efficiency standards; and HFC reduction. Western ConservationFor Support Of The Clean Energy Program"
730,This grant will support collaboration with the China State Grid to examine the macroeconomic impacts of power sector reform. It will also support work to develop cooperative models to leverage expertise from both China and United States to meet their respective commitments under the Paris Climate Agreement.  For The Center On Global Energy Policy’s US-China Energy And Climate Program
731,"Green For All, an initiative of Dream Corps, works to ensure that climate and clean-energy policies are well-designed and deliver economic, job creation, and public health benefits equitably. This grant will support Green For All’s Frontlines First program, which includes communications, advocacy, and collaboration efforts geared toward ensuring that the transition away from fossil fuels and toward clean energy benefits low-income communities and communities of color.  For Frontlines First Program"
732,"This grant will support the Bipartisan Policy Center’s Energy Project, which works to provide state regulators in the Midwest and across the country with the technical and analytic resources they need to move forward with the transition to cleaner energy. The center also convenes workshops and events where those with differing viewpoints can come together to discuss how to best overcome political divides and forge common ground on clean energy and climate-related issues.  For Support Of The Energy Project"
733,   For Developing A Fundraising Strategy And Data Management Plan
734,"This grant will support the Climate Policy Initiative’s India Clean Energy Fund. This fund will support grantees who seek funding from the U.S. government’s Overseas Private Investment Corporation to develop distributed and rooftop solar business models for the purpose of reducing air pollution from power plants and expanding electricity access to underserved and poverty-stricken areas of India. The grants provide resources to meet the business and environmental guidelines of the U.S. government, and leverage more than $400 million to expand rooftop and off-grid clean energy in India.  For The India Clean Energy Finance Initiative"
735,"The emissions from transportation in the United States are growing and have become the primary source of carbon emissions in the country. The Natural Resource Defense Council is a leading organization in the environmental field and has programs to address the new technologies and changes in behavior needed to put the country on the necessary trajectory to reach deep 2050 climate goals. With the support of this grant, the Shared Use Mobility and Electrification programs are testing and implementing innovative policies to reduce vehicle use and increase the use of clean energy to power remaining vehicles nationwide.  For The Shared Use Mobility And Transportation Electrification Programs"
736,"The Climate Policy Initiative engages in analysis and policy design to facilitate incremental improvement in energy finance policy, as well as a long-term vision and trajectory that could stimulate more systemic industry reform. Its four objectives are (a) to reform energy markets for the low-carbon future, (b) employ finance as catalyst, (c) smooth energy transitions by addressing issues around assets whose value will be ""stranded"" in a low-carbon world, and developing new models of growth for emerging markets. The Initiative relies on top-notch analysis to build a larger network of business and government finance officials that will ultimately help create a system of climate finance that will implement the Paris Agreement.  For Climate Finance And Energy Transition Programs"
737,   For Communications And Video Development
